WASHINGTON,ADAMS,JEFFERSON,MADISON,MONROE,JACKSON,VANBUREN,HARRISON,TYLER,POLK,TAYLOR,FILLMORE,PIERCE,BUCHANAN,LINCOLN,JOHNSON,GRANT,HAYES,GARFIELD,ARTHUR,CLEVELAND,MCKINLEY,ROOSEVELT,TAFT,WILSON,HARDING,COOLIDGE,HOOVER,TRUMAN,EISENHOWER,KENNEDY,NIXON,FORD,CARTER,REAGAN,BUSH,CLINTON,OBAMA,TRUMP
R,G,G,U,X,W,P,Q,Y,G,E,Q,X,U,T,X,N,B,V,D,P,M,X,E,W,O,Y,L,F,U,C,W,Q,P,N,D,G,R,U,A
U,M,D,A,Z,X,I,E,M,M,N,K,X,K,L,Q,H,H,A,R,J,T,U,Z,U,O,D,V,W,V,I,R,E,M,A,X,T,C,Z,O
N,A,Z,O,Q,J,B,E,N,U,Y,N,V,B,S,O,V,F,Y,C,Z,U,P,J,R,G,S,P,L,X,C,U,F,U,C,Z,X,Z,C,R
F,D,Q,I,T,F,I,J,J,P,W,F,S,D,Z,W,Z,X,D,I,E,V,B,Q,G,T,V,Y,W,R,Z,X,A,I,Z,J,I,U,A,F
C,R,V,N,F,J,Y,Z,T,K,E,L,C,K,I,X,I,Z,A,R,S,C,C,P,R,K,Y,W,Q,G,F,W,Q,O,T,G,R,A,W,L
Q,V,U,E,J,E,G,K,A,N,P,M,O,R,X,O,S,K,K,D,X,F,G,C,R,F,M,S,F,R,D,C,H,E,V,V,D,R,H,V
A,I,M,Q,P,Z,U,O,W,J,G,M,G,D,P,S,V,T,Z,E,A,U,F,R,J,M,F,Q,P,K,V,B,A,N,P,L,Y,O,C,K
U,H,K,D,V,O,R,M,U,C,D,X,F,Y,L,Z,N,U,W,Z,W,X,G,V,P,C,U,E,U,X,I,V,D,G,U,L,V,A,V,E
E,J,W,E,Z,Q,G,T,L,D,R,B,D,T,Z,X,M,B,Z,C,H,P,V,S,N,F,G,P,J,C,M,P,S,O,B,I,M,L,A,W
S,N,O,D,N,L,L,C,H,M,D,N,P,D,A,S,Q,H,U,Z,Q,H,B,M,Z,S,P,P,W,V,F,A,C,A,K,P,E,M,Z,E
S,J,C,S,V,B,I,S,D,L,F,U,U,C,Z,R,R,W,L,G,G,K,F,A,D,Q,D,P,H,L,C,X,J,U,U,Y,E,W,C,K
R,U,M,J,Y,C,Q,X,L,A,M,P,W,Q,K,Q,P,K,R,N,A,V,D,C,Y,S,D,M,U,E,V,Q,X,G,M,Y,H,U,K,A
Z,G,P,Y,U,C,F,R,A,I,X,P,N,F,N,N,B,F,A,Q,W,K,V,E,N,Y,E,V,Y,S,S,S,W,N,T,N,G,H,B,X
E,N,T,D,Y,C,Q,Y,K,I,J,S,M,E,P,U,C,V,K,H,D,K,Z,U,V,Y,T,P,I,T,I,C,Q,Y,C,J,K,Z,X,E
P,B,J,B,M,X,J,V,Z,L,H,I,A,B,Q,Y,K,Q,C,L,N,P,N,G,B,K,B,C,Q,V,Q,C,L,S,Y,I,L,A,P,C
J,T,A,Y,L,O,R,W,K,X,M,C,O,F,A,I,M,G,E,N,D,R,T,O,E,Q,X,E,F,A,N,C,H,N,E,A,K,W,F,Y
L,H,C,L,H,B,N,F,E,K,O,I,M,E,J,X,E,D,S,I,P,Z,F,H,V,F,S,K,B,I,J,L,X,Z,X,S,Q,L,Y,R
W,M,K,N,P,L,I,R,S,N,W,E,J,C,Y,L,A,T,G,Y,R,Q,G,E,O,Q,P,I,X,P,D,U,G,J,L,C,Z,N,H,W
B,U,S,H,O,L,Z,V,O,R,E,V,G,Y,F,V,F,A,Y,U,C,I,J,P,U,M,T,G,R,L,E,F,Z,Y,N,Y,C,E,H,L
I,O,O,C,L,S,P,X,E,E,O,T,D,N,C,O,L,E,J,N,W,O,W,M,W,Z,K,O,P,G,L,E,A,N,I,P,Q,H,J,P
N,K,N,M,K,V,I,R,M,U,P,J,F,I,J,J,U,B,X,W,F,N,R,L,D,X,D,K,I,K,U,F,W,X,B,I,C,V,T,C
C,I,O,K,H,N,H,D,P,E,M,L,D,X,V,G,P,D,I,F,M,I,J,P,A,R,W,X,Y,Q,W,I,S,V,F,S,Q,Y,J,V
L,R,T,R,B,S,A,D,A,M,S,A,W,O,D,Y,N,R,T,G,G,S,C,D,B,A,B,T,E,I,S,P,M,C,K,L,H,U,C,G
